Block Name,Fingerprint Hash,Total Occurrences,File Count,Files,Status
101004002572___板,-1232697857361324594,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002549___弯板,1818115829668406855,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002548___弯板,-7267489224310125463,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002547___板,3118159612631516052,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004001938____底板,4910368416856587420,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002509____顶板,4990183262132447005,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
23,6658110336050294308,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
34,-5855389153004673625,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002510____板,7052717617970326771,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002511____加强板,3185643218778448014,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002530____板,-8279463529256647659,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
65,2669410276365521494,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
8,-3464239461566288951,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002532____弯板VV1,-8947352531317894694,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002531____环,-3312719377725031680,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004000308_环,-1547051815589393289,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
A$C74381F43,-8071128710810937889,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002429____板,9187822944562377475,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
A$C7C5F544C,-3176431045082695137,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
A$C75DB3C6F,-6578888308358539199,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
A$C754851AC,-1846150051550776227,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004000368_179020116-4__,1902667905007162998,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004000419_201020120-4_块,-8592651989397582026,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
A$C792E24FF,-770720429850899737,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
A$C72A90F25,-6661163772528895461,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
A$C77535882,2407245681371610704,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
179020122-3_焊板,8481219742951319989,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
A$C76CA6FF2,2281175879861227165,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
A$C08660209,-7306271117786535218,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004000427__标牌架,4705395871353165765,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002423____弯板,8873951542108972216,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002424____弯板,4369701313608055565,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002425____板,-3418293740002946746,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002435___弯条,5994626667188011855,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002440___弯条,-8348173112837533662,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002439___弯条,-5052784545004887173,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002434-5____补条1,-3607764263959948200,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002434-6____补条2,-4615840758166478115,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002438___条,2734163149101793687,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002434-3___弯条,-4497943097299542980,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002434-4___弯条,3538533731686938677,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002492_板,3237381695798044161,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004002501_板,1864736347148228276,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004000173___板,354539960562105526,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
101004002523___法兰,-757303366014722556,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
12,-4993647047820614630,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002221__折弯板,-6814856724487225523,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002222___下叶片,4334131131539365600,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002223___上叶片,-3669544595872787122,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002225_____管,1692854589613551998,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002227___板,7553689421270231173,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004000592_弯板,3023416166520899462,3,3,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf; cad\250614 凯迈2025WX-35-02号计划-CAD下料.dxf,Normalized
101004000612_板,5869057849728293851,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
210090210-1___网孔体,705724281907680813,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
210090220-1___弯板,-5070141844830604375,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
210090220-2__卡箍条,1565713762689722065,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
A$C18B11EB1,-4014970041366289232,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
A$C43B62937,1045785348615804045,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
A$C6F203E09,-6028912280338002776,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
101004002413___板,-4156259798237640453,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002431____板,8753150970475086557,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002452___管,-9188845146837245864,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002370___弯板,6342987923268965405,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002370___弯板_,-4361115178340358203,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002293___出料口下弯板,-494284867184956652,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002294___出料口上弯板,687346375831765774,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002295___出料口侧板,7320383528130560833,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002296___出料口侧板,6052528544573610271,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002289___板,2520804111669398286,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002372-1___弯板,-252974436890925976,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002393___弯板,8879284913009591538,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002394-1___弯板,2393035996223521101,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002390___弯板,1994443720682276414,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002391___板,-2804102713348650352,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004001345___弯板,-9206934773522218040,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002394___弯板,-6620206555161306545,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002398___弯板,364765380913242226,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002406___弯板,-8303734043501429506,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002409___弯板,2317729709724809777,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002407___侧弯板,8193302437440345374,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002415___门体,6367673695243626503,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
